RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
2.56469,0.95859,0.8048,11.984,12.298,-1.0,C19a1sW00265,
2.596071,0.397722,0.4041,11.395,12.069,-1.0,C19a1sW00266,
2.596852,0.343709,0.4514,12.64,12.352,-1.0,C19a1sW00267,
2.600991,1.153722,0.428,10.473,12.304,-1.0,C19a1sW00268,
2.644389,0.942868,0.8975,17.6,12.314,-1.0,C19a1sW00269,
2.644688,1.456125,0.4964,11.853,12.137,-1.0,C19a1sW00270,
2.648726,-0.142225,0.844,16.562,12.12,-1.0,C19a1sW00271,
2.65378,0.612628,1.2,11.585,12.307,-1.0,C19a1sW00272,
2.657637,0.993554,0.7174,15.326,12.29,-1.0,C19a1sW00273,
2.722699,0.816774,0.452,12.722,12.212,0.45668,C19a1sW00274,
2.741591,0.027896,1.2351,10.058,12.272,-1.0,C19a1sW00275,
2.751937,1.332125,0.922,11.585,12.072,-1.0,C19a1sW00276,
2.797635,0.923757,0.6099,14.381,12.324,-1.0,C19a1sW00277,
2.817977,0.359306,0.404,11.595,12.229,0.42086,C19a1sW00278,
2.876503,0.599931,0.844,11.74,12.051,-1.0,C19a1sW00279,
2.926111,1.41873,0.858,13.056,12.126,-1.0,C19a1sW00280,
2.942899,1.508673,1.182,18.875,12.432,-1.0,C19a1sW00281,
2.963515,1.44702,0.368,12.238,12.028,0.3701,C19a1sW00282,
3.006669,0.431631,0.876,18.6,12.365,-1.0,C19a1sW00283,
3.054412,0.106131,0.6778,11.767,12.1,0.6573,C19a1sW00284,
3.075708,0.830973,0.914,15.016,12.163,-1.0,C19a1sW00285,
3.18884,0.90369,0.7741,12.34,12.055,-1.0,C19a1sW00286,
3.257119,0.864649,0.5687,13.761,11.98,-1.0,C19a1sW00287,
28.869784,-3.104819,0.4549,12.879,11.951,-1.0,C19a1sW00288,
28.952895,-2.372073,1.278,14.824,12.289,-1.0,C19a1sW00289,
28.966977,-2.491018,0.4348,22.336,12.251,-1.0,C19a1sW00290,
28.980419,-2.993564,0.7343,10.065,12.05,-1.0,C19a1sW00291,
