#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
  2.480420   1.326018 0.8921  12.991 12.351 -1.0    C19a1nW00278
  2.503753   1.155863 0.5080  16.066 12.159 0.50499 C19a1nW00279
  2.512117   1.326207 0.4193  21.032 12.183 0.41499 C19a1nW00280
  2.531192  -0.162875 1.1500  11.128 12.205 -1.0    C19a1nW00281
  2.564594   0.653281 0.3707  15.430 12.162 0.36415 C19a1nW00282
  2.564690   0.958590 0.8100  11.770 12.335 -1.0    C19a1nW00283
  2.596071   0.397722 0.4074  10.161 12.029 -1.0    C19a1nW00284
  2.596852   0.343709 0.4514  11.743 12.357 -1.0    C19a1nW00285
  2.600991   1.153722 0.4280  10.308 12.304 -1.0    C19a1nW00286
  2.631095   1.194177 0.7340  12.810 12.254 -1.0    C19a1nW00287
  2.633064  -0.222534 1.2090  11.346 12.115 -1.0    C19a1nW00288
  2.644389   0.942868 0.9009  19.114 12.349 -1.0    C19a1nW00289
  2.644688   1.456125 0.4963  10.529 12.269 -1.0    C19a1nW00290
  2.648726  -0.142225 0.8440  15.807 12.123 -1.0    C19a1nW00291
  2.653780   0.612628 1.2000  12.100 12.320 -1.0    C19a1nW00292
  2.657637   0.993554 0.7174  15.219 12.290 -1.0    C19a1nW00293
  2.685608  -0.022657 0.5700  12.753 12.414 0.56824 C19a1nW00294
  2.696171  -0.392336 0.5700  11.915 12.309 0.57408 C19a1nW00295
  2.722699   0.816774 0.4520  11.202 12.212 0.45668 C19a1nW00296
  2.726293   0.011637 1.2329  11.223 12.317 -1.0    C19a1nW00297
  2.751937   1.332125 0.9220  11.749 12.078 -1.0    C19a1nW00298
  2.797635   0.923757 0.6100  14.103 12.324 -1.0    C19a1nW00299
  2.817977   0.359306 0.4040  10.983 12.229 0.42086 C19a1nW00300
  2.876503   0.599931 0.8440  11.293 12.051 -1.0    C19a1nW00301
  2.926111   1.418730 0.8593  14.089 12.212 -1.0    C19a1nW00302
  2.942899   1.508673 1.1820  18.584 12.432 -1.0    C19a1nW00303
  2.963515   1.447020 0.3683  10.834 12.047 0.37010 C19a1nW00304
  3.006669   0.431631 0.8761  14.480 12.372 -1.0    C19a1nW00305
  3.054412   0.106131 0.6740  12.516 12.149 0.65730 C19a1nW00306
  3.078409   0.813848 0.9286  11.935 12.084 -1.0    C19a1nW00307
  3.136362   0.462280 0.6959  10.069 12.092 -1.0    C19a1nW00308
  3.154647   1.189964 0.5945  16.161 12.289 -1.0    C19a1nW00309
  3.188840   0.903690 0.7741  11.973 12.055 -1.0    C19a1nW00310
  3.257119   0.864649 0.5686  12.791 11.980 -1.0    C19a1nW00311
  3.272347   0.921776 0.2740  10.113 12.016 0.26664 C19a1nW00312
 28.836022  -3.132894 0.5520  10.141 11.819 -1.0    C19a1nW00313
